timestamp,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,MagX,MagY,MagZ,abGyrX,abGyrY,abGyrZ,abAccX,abAccY,abAccZ,labels
64914024.0,0.335,0.34,0.255,0.195,3.8,3.255,0.0,0.0,233.5,44.0,44.0,1.973694,-1.243027,0.05329455,0.00469194,0.05004548,-9.889271,0
64964004.0,0.33,1.95,0.28,0.46,3.8,3.26,0.0,0.0,237.0,44.0,44.0,-0.8803564,2.190137,0.04735396,-0.0366405,0.00147205,-9.823107,0
64964004.0,0.33,1.95,0.28,0.46,3.8,3.26,0.0,0.0,237.0,44.0,44.0,-0.6348794,-2.293604,0.03786114,-0.02375886,0.0178666,-9.849349,0
65013984.0,0.32,0.35,0.31,0.21,3.8,3.26,0.0,0.0,234.0,43.5,43.5,1.873409,1.422734,0.03767753,0.00037058,0.04958807,-9.855397,0
65063964.0,0.31,-1.25,0.34,-0.04,3.8,3.26,0.0,0.0,231.0,43.0,43.0,-2.333842,-0.0625394,0.04306586,-0.00972328,-0.0140567,-9.80784,0
65063964.0,0.31,-1.25,0.34,-0.04,3.8,3.26,0.0,0.0,231.0,43.0,43.0,1.917812,-1.306669,0.05222921,-0.00675378,0.02887047,-9.827789,0
65113944.0,0.305,0.33,0.35,0.285,3.8,3.27,0.0,0.0,234.5,43.0,43.0,-0.7675576,2.235493,0.04815673,-0.00324093,-0.06023675,-9.846462,0
65163924.0,0.3,1.91,0.36,0.61,3.8,3.28,0.0,0.0,238.0,43.0,43.0,-0.7015301,-2.232958,0.0368451,-0.00951657,-0.04618989,-9.758943,0
65163924.0,0.3,1.91,0.36,0.61,3.8,3.28,0.0,0.0,238.0,43.0,43.0,1.952869,1.298641,0.03712631,-0.04140906,0.04317985,-9.785007,0
65213904.0,0.31,0.31,0.32,0.4,3.8,3.28,0.0,0.0,235.5,43.5,43.5,-2.261156,0.1647541,0.04860055,-0.03895448,-0.00852701,-9.807439,0
65263884.0,0.32,-1.29,0.28,0.19,3.8,3.28,0.0,0.0,233.0,44.0,44.0,1.721254,-1.601992,0.05133612,0.03775989,0.01491404,-9.826256,0
65263884.0,0.32,-1.29,0.28,0.19,3.8,3.28,0.0,0.0,233.0,44.0,44.0,-0.317611,2.304208,0.04114758,-0.00170571,0.01082784,-9.837304,0
65313864.0,0.325,0.33,0.265,0.28,3.8,3.285,0.0,0.0,235.5,43.5,43.5,-1.171629,-1.946248,0.03231657,0.0087911,0.00439685,-9.817055,0
65363844.0,0.33,1.95,0.25,0.37,3.8,3.29,0.0,0.0,238.0,43.0,43.0,2.147928,0.8480704,0.0383374,-0.00993191,0.02801704,-9.837029,0
65363844.0,0.33,1.95,0.25,0.37,3.8,3.29,0.0,0.0,238.0,43.0,43.0,-2.231647,0.7223487,0.04890337,-0.01448056,-0.03902271,-9.822423,0
65413824.0,0.32,0.335,0.26,0.27,3.8,3.29,0.0,0.0,234.5,43.0,43.0,1.218451,-1.938633,0.04810377,0.02503469,0.04703742,-9.832587,0
65463804.0,0.31,-1.28,0.27,0.17,3.8,3.29,0.0,0.0,231.0,43.0,43.0,0.1811269,2.270574,0.03571536,-0.01892535,-0.03788862,-9.8242,0
